player_santr102  -->  player_willb104  (support=2011, confidence=0.898, lift=140.074)
player_willb104  -->  player_santr102  (support=2011, confidence=0.810, lift=140.074)
player_bagwj001  -->  player_biggc001  (support=2029, confidence=0.944, lift=128.277)
player_biggc001  -->  player_bagwj001  (support=2029, confidence=0.712, lift=128.277)
player_heltt001  -->  team_COL  (support=2247, confidence=1.000, lift=77.170)
player_ott-m101  -->  team_NY1  (support=2617, confidence=1.000, lift=55.764)
player_reesp101  -->  team_BRO  (support=2107, confidence=0.973, lift=52.830)
player_wheaz101  -->  team_BRO  (support=2122, confidence=0.961, lift=52.218)
player_rices101  -->  team_WS1  (support=2174, confidence=0.958, lift=51.602)
player_marte001  -->  team_SEA  (support=2055, confidence=1.000, lift=51.303)
player_younr001  -->  team_MIL  (support=2856, confidence=1.000, lift=44.636)
player_bretg001  -->  team_KCA  (support=2707, confidence=1.000, lift=43.857)
player_whitf001  -->  team_KCA  (support=2324, confidence=1.000, lift=43.857)
player_gwynt001  -->  team_SDN  (support=2440, confidence=1.000, lift=43.793)
player_jonec004  -->  team_ATL  (support=2499, confidence=1.000, lift=41.651)
player_biggc001  -->  team_HOU  (support=2850, confidence=1.000, lift=38.867)
player_bagwj001  -->  team_HOU  (support=2150, confidence=1.000, lift=38.867)
player_russb001  -->  team_LAN  (support=2181, confidence=1.000, lift=36.543)
player_ripkc001  -->  team_BAL  (support=3001, confidence=1.000, lift=34.592)
player_robib104  -->  team_BAL  (support=2896, confidence=1.000, lift=34.592)
player_mccow101  -->  team_SFN  (support=2256, confidence=0.872, lift=31.855)
player_maysw101  -->  team_SFN  (support=2095, confidence=0.708, lift=25.873)
player_kalia101  -->  team_DET  (support=2834, confidence=1.000, lift=22.607)
player_gehrc101  -->  team_DET  (support=2074, confidence=1.000, lift=22.607)
player_trama001  -->  team_DET  (support=2293, confidence=1.000, lift=22.607)
player_whitl001  -->  team_DET  (support=2390, confidence=1.000, lift=22.607)
player_schmm001  -->  team_PHI  (support=2404, confidence=1.000, lift=22.471)
player_yastc101  -->  team_BOS  (support=3308, confidence=1.000, lift=22.434)
player_ricej001  -->  team_BOS  (support=2089, confidence=1.000, lift=22.434)
player_willt103  -->  team_BOS  (support=2153, confidence=1.000, lift=22.434)
player_appll101  -->  team_CHA  (support=2148, confidence=1.000, lift=22.396)
player_mazeb101  -->  team_PIT  (support=2124, confidence=1.000, lift=22.362)
player_clemr101  -->  team_PIT  (support=2366, confidence=1.000, lift=22.362)
player_starw101  -->  team_PIT  (support=2340, confidence=1.000, lift=22.362)
player_moliy001  -->  team_SLN  (support=2226, confidence=1.000, lift=22.302)
player_musis101  -->  team_SLN  (support=2788, confidence=1.000, lift=22.302)
player_banke101  -->  team_CHN  (support=2478, confidence=1.000, lift=22.256)
player_sandr001  -->  team_CHN  (support=2151, confidence=0.994, lift=22.123)
player_gehrl101  -->  team_NYA  (support=2092, confidence=1.000, lift=21.981)
player_mantm101  -->  team_NYA  (support=2393, confidence=1.000, lift=21.981)
player_willb002  -->  team_NYA  (support=2076, confidence=1.000, lift=21.981)
player_jeted001  -->  team_NYA  (support=2747, confidence=1.000, lift=21.981)
player_berry101  -->  team_NYA  (support=2092, confidence=0.998, lift=21.939)
player_cashn101  -->  team_DET  (support=2018, confidence=0.966, lift=21.839)
player_vottj001  -->  team_CIN  (support=2056, confidence=1.000, lift=21.808)
player_bencj101  -->  team_CIN  (support=2158, confidence=1.000, lift=21.808)
player_concd001  -->  team_CIN  (support=2488, confidence=1.000, lift=21.808)
player_larkb001  -->  team_CIN  (support=2180, confidence=1.000, lift=21.808)
player_konep001  -->  team_CHA  (support=2268, confidence=0.966, lift=21.624)
player_evand002  -->  team_BOS  (support=2505, confidence=0.961, lift=21.565)
player_santr102  -->  team_CHN  (support=2122, confidence=0.948, lift=21.093)
player_rollj001  -->  team_PHI  (support=2090, confidence=0.919, lift=20.643)
player_fox-n101  -->  team_CHA  (support=2079, confidence=0.898, lift=20.122)
player_carem101  -->  team_PIT  (support=2166, confidence=0.887, lift=19.826)
player_willb104  -->  team_CHN  (support=2209, confidence=0.889, lift=19.792)
player_brocl102  -->  team_SLN  (support=2289, confidence=0.875, lift=19.515)
player_wanep101  -->  team_PIT  (support=2066, confidence=0.850, lift=19.012)
player_ruthb101  -->  team_NYA  (support=2031, confidence=0.832, lift=18.281)
player_cabrm001  -->  team_DET  (support=2077, confidence=0.743, lift=16.787)
player_rosep001  -->  team_CIN  (support=2722, confidence=0.764, lift=16.665)
