Table,Determinant,Dependent
Teams,id,last
Teams,id,city
Teams,id,name
Teams,id,first
Teams,"first, id",name
Teams,"first, id",city
Teams,"first, id",last
Teams,"id, last",name
Teams,"id, last",city
Teams,"id, last",first
Teams,"id, name",last
Teams,"id, name",city
Teams,"id, name",first
Teams,"city, id",last
Teams,"city, id",name
Teams,"city, id",first
Teams,"first, id, last",name
Teams,"first, id, last",city
Teams,"first, id, name",city
Teams,"first, id, name",last
Teams,"city, first, id",name
Teams,"city, first, id",last
Teams,"city, first, name",last
Teams,"id, last, name",city
Teams,"id, last, name",first
Teams,"city, id, last",name
Teams,"city, id, last",first
Teams,"city, last, name",first
Teams,"city, id, name",last
Teams,"city, id, name",first
Teams,"first, id, last, name",city
Teams,"city, first, id, last",name
Teams,"city, first, id, name",last
Teams,"city, id, last, name",first
Players,id,throws
Players,id,dob
Players,id,firstname
Players,id,lastname
Players,id,bats
Players,"id, throws",dob
Players,"id, throws",lastname
Players,"id, throws",bats
Players,"id, throws",firstname
Players,"dob, id",lastname
Players,"dob, id",throws
Players,"dob, id",bats
Players,"dob, id",firstname
Players,"firstname, id",dob
Players,"firstname, id",throws
Players,"firstname, id",lastname
Players,"firstname, id",bats
Players,"id, lastname",dob
Players,"id, lastname",throws
Players,"id, lastname",bats
Players,"id, lastname",firstname
Players,"bats, id",dob
Players,"bats, id",throws
Players,"bats, id",lastname
Players,"bats, id",firstname
Players,"dob, firstname, throws",bats
Players,"dob, id, throws",lastname
Players,"dob, id, throws",bats
Players,"dob, id, throws",firstname
Players,"firstname, id, throws",dob
Players,"firstname, id, throws",lastname
Players,"firstname, id, throws",bats
Players,"id, lastname, throws",dob
Players,"id, lastname, throws",bats
Players,"id, lastname, throws",firstname
Players,"bats, id, throws",dob
Players,"bats, id, throws",lastname
Players,"bats, id, throws",firstname
Players,"dob, firstname, id",lastname
Players,"dob, firstname, id",throws
Players,"dob, firstname, id",bats
Players,"bats, dob, firstname",throws
Players,"dob, id, lastname",throws
Players,"dob, id, lastname",bats
Players,"dob, id, lastname",firstname
Players,"bats, dob, lastname",throws
Players,"bats, dob, id",lastname
Players,"bats, dob, id",throws
Players,"bats, dob, id",firstname
Players,"firstname, id, lastname",dob
Players,"firstname, id, lastname",throws
Players,"firstname, id, lastname",bats
Players,"bats, firstname, lastname",throws
Players,"bats, firstname, id",dob
Players,"bats, firstname, id",throws
Players,"bats, firstname, id",lastname
Players,"bats, id, lastname",dob
Players,"bats, id, lastname",throws
Players,"bats, id, lastname",firstname
Players,"dob, firstname, lastname, throws",bats
Players,"dob, firstname, id, throws",lastname
Players,"dob, firstname, id, throws",bats
Players,"dob, id, lastname, throws",bats
Players,"dob, id, lastname, throws",firstname
Players,"bats, dob, id, throws",lastname
Players,"bats, dob, id, throws",firstname
Players,"firstname, id, lastname, throws",dob
Players,"firstname, id, lastname, throws",bats
Players,"bats, firstname, id, throws",dob
Players,"bats, firstname, id, throws",lastname
Players,"bats, id, lastname, throws",dob
Players,"bats, id, lastname, throws",firstname
Players,"dob, firstname, id, lastname",throws
Players,"dob, firstname, id, lastname",bats
Players,"bats, dob, firstname, lastname",throws
Players,"bats, dob, firstname, id",lastname
Players,"bats, dob, firstname, id",throws
Players,"bats, dob, id, lastname",throws
Players,"bats, dob, id, lastname",firstname
Players,"bats, firstname, id, lastname",dob
Players,"bats, firstname, id, lastname",throws
Players,"dob, firstname, id, lastname, throws",bats
Players,"bats, dob, firstname, id, throws",lastname
Players,"bats, dob, id, lastname, throws",firstname
Players,"bats, firstname, id, lastname, throws",dob
Players,"bats, dob, firstname, id, lastname",throws
Ballparks,id,name
Ballparks,id,city
Ballparks,id,state
Ballparks,"city, name",state
Ballparks,"city, name",id
Ballparks,"id, name",city
Ballparks,"id, name",state
Ballparks,"city, id",name
Ballparks,"city, id",state
Ballparks,"id, state",name
Ballparks,"id, state",city
Ballparks,"city, name, state",id
Ballparks,"city, id, name",state
Ballparks,"id, name, state",city
Ballparks,"city, id, state",name
Games,id,winningpitcher
Games,id,attendance
Games,id,sv
Games,id,htbf
Games,id,hometeam
Games,id,location
Games,id,visteam
Games,id,usedh
Games,id,losingpitcher
Games,id,date
Games,"htbf, winningpitcher",attendance
Games,"htbf, winningpitcher",sv
Games,"htbf, winningpitcher",hometeam
Games,"htbf, winningpitcher",location
Games,"htbf, winningpitcher",visteam
Games,"htbf, winningpitcher",usedh
Games,"htbf, winningpitcher",id
Games,"htbf, winningpitcher",losingpitcher
Games,"htbf, winningpitcher",date
Games,"id, winningpitcher",attendance
Games,"id, winningpitcher",sv
Games,"id, winningpitcher",htbf
Games,"id, winningpitcher",hometeam
Games,"id, winningpitcher",location
Games,"id, winningpitcher",visteam
Games,"id, winningpitcher",usedh
Games,"id, winningpitcher",losingpitcher
Games,"id, winningpitcher",date
Games,"date, winningpitcher",attendance
Games,"date, winningpitcher",sv
Games,"date, winningpitcher",htbf
Games,"date, winningpitcher",hometeam
Games,"date, winningpitcher",location
Games,"date, winningpitcher",visteam
Games,"date, winningpitcher",usedh
Games,"date, winningpitcher",id
Games,"date, winningpitcher",losingpitcher
Games,"attendance, htbf",usedh
Games,"attendance, id",winningpitcher
Games,"attendance, id",sv
Games,"attendance, id",htbf
Games,"attendance, id",hometeam
Games,"attendance, id",location
Games,"attendance, id",visteam
Games,"attendance, id",usedh
Games,"attendance, id",losingpitcher
Games,"attendance, id",date
Games,"htbf, sv",attendance
Games,"htbf, sv",usedh
Games,"htbf, sv",visteam
Games,"id, sv",winningpitcher
Games,"id, sv",attendance
Games,"id, sv",htbf
Games,"id, sv",hometeam
Games,"id, sv",location
Games,"id, sv",visteam
Games,"id, sv",usedh
Games,"id, sv",losingpitcher
Games,"id, sv",date
Games,"htbf, location",hometeam
Games,"htbf, id",winningpitcher
Games,"htbf, id",attendance
Games,"htbf, id",sv
Games,"htbf, id",hometeam
Games,"htbf, id",location
Games,"htbf, id",visteam
Games,"htbf, id",usedh
Games,"htbf, id",losingpitcher
Games,"htbf, id",date
Games,"htbf, losingpitcher",winningpitcher
Games,"htbf, losingpitcher",attendance
Games,"htbf, losingpitcher",sv
Games,"htbf, losingpitcher",hometeam
Games,"htbf, losingpitcher",location
Games,"htbf, losingpitcher",visteam
Games,"htbf, losingpitcher",usedh
Games,"htbf, losingpitcher",id
Games,"htbf, losingpitcher",date
Games,"date, htbf",attendance
Games,"date, htbf",usedh
Games,"hometeam, id",winningpitcher
Games,"hometeam, id",attendance
Games,"hometeam, id",sv
Games,"hometeam, id",htbf
Games,"hometeam, id",location
Games,"hometeam, id",visteam
Games,"hometeam, id",usedh
Games,"hometeam, id",losingpitcher
Games,"hometeam, id",date
Games,"date, hometeam",location
Games,"date, hometeam",usedh
Games,"id, location",winningpitcher
Games,"id, location",attendance
Games,"id, location",sv
Games,"id, location",htbf
Games,"id, location",hometeam
Games,"id, location",visteam
Games,"id, location",usedh
Games,"id, location",losingpitcher
Games,"id, location",date
Games,"id, visteam",winningpitcher
Games,"id, visteam",attendance
Games,"id, visteam",sv
Games,"id, visteam",htbf
Games,"id, visteam",hometeam
Games,"id, visteam",location
Games,"id, visteam",usedh
Games,"id, visteam",losingpitcher
Games,"id, visteam",date
Games,"date, visteam",hometeam
Games,"date, visteam",location
Games,"date, visteam",usedh
Games,"id, usedh",winningpitcher
Games,"id, usedh",attendance
Games,"id, usedh",sv
Games,"id, usedh",htbf
Games,"id, usedh",hometeam
Games,"id, usedh",location
Games,"id, usedh",visteam
Games,"id, usedh",losingpitcher
Games,"id, usedh",date
Games,"id, losingpitcher",winningpitcher
Games,"id, losingpitcher",attendance
Games,"id, losingpitcher",sv
Games,"id, losingpitcher",htbf
Games,"id, losingpitcher",hometeam
Games,"id, losingpitcher",location
Games,"id, losingpitcher",visteam
Games,"id, losingpitcher",usedh
Games,"id, losingpitcher",date
Games,"date, id",winningpitcher
Games,"date, id",attendance
Games,"date, id",sv
Games,"date, id",htbf
Games,"date, id",hometeam
Games,"date, id",location
Games,"date, id",visteam
Games,"date, id",usedh
Games,"date, id",losingpitcher
Games,"date, losingpitcher",winningpitcher
Games,"date, losingpitcher",attendance
Games,"date, losingpitcher",sv
Games,"date, losingpitcher",htbf
Games,"date, losingpitcher",hometeam
Games,"date, losingpitcher",location
Games,"date, losingpitcher",visteam
Games,"date, losingpitcher",usedh
Games,"date, losingpitcher",id
Games,"attendance, htbf, winningpitcher",sv
Games,"attendance, htbf, winningpitcher",hometeam
